#OTU ID	example1	example2	example3	example4	example5	example6
OTU_179	1	1	0	0	0	0
OTU_18	1	0	0	0	0	0
OTU_180	1	0	0	0	0	0
OTU_181	2	0	1	0	0	0
OTU_182	1	0	0	0	0	0
OTU_183	3	0	1	0	0	0
OTU_184	1	0	0	0	0	0
OTU_185	1	0	0	0	0	0
OTU_186	1	1	1	0	0	0
OTU_187	2	0	0	0	0	0
OTU_188	1	0	1	0	0	0
OTU_189	1	0	0	0	0	0
OTU_19	1	0	0	0	0	0
OTU_190	1	6	0	0	0	0
OTU_191	6	8	4	0	0	0
OTU_192	1	0	0	0	0	0
OTU_193	5	2	5	0	0	0
OTU_194	3	4	2	0	0	0
OTU_195	1	0	0	0	0	0
OTU_196	1	0	2	0	0	0
OTU_197	1	0	0	0	0	0
OTU_198	1	2	2	0	0	0
OTU_199	5	1	2	0	0	0
OTU_2	4	3	7	0	0	0
OTU_20	1	0	0	0	0	0
OTU_200	1	0	0	0	0	0
OTU_201	2	0	1	0	0	0
OTU_202	1	0	0	0	0	0
OTU_203	1	2	5	0	0	0
OTU_204	1	0	0	0	0	0
OTU_205	1	1	0	0	0	0
OTU_206	1	0	0	0	0	0
OTU_207	3	0	0	0	0	0
OTU_208	1	2	0	0	0	0
OTU_209	1	0	0	0	0	0
OTU_21	2	2	0	0	0	0
OTU_210	1	0	0	0	0	0
OTU_211	3	8	3	0	0	0
OTU_212	1	0	1	0	0	0
OTU_213	6	4	5	0	0	0
OTU_214	1	2	1	0	0	0
OTU_215	1	0	0	0	0	0
OTU_216	4	3	3	0	0	0
OTU_217	3	5	6	0	0	0
OTU_218	2	0	3	0	0	0
OTU_219	2	2	0	0	0	0
OTU_22	1	0	1	0	0	0
OTU_220	4	4	4	0	0	0
OTU_221	1	0	0	0	0	0
OTU_222	2	0	0	0	0	0
OTU_223	3	3	2	0	0	0
OTU_224	2	1	0	0	0	0
OTU_225	3	1	2	0	0	0
OTU_226	1	1	0	0	0	0
OTU_227	3	1	0	0	0	0
OTU_228	1	0	0	0	0	0
OTU_229	1	0	2	0	0	0
OTU_23	2	1	2	0	0	0
OTU_230	1	1	0	0	0	0
OTU_231	1	1	1	0	0	0
OTU_232	1	1	1	0	0	0
OTU_233	1	0	0	0	0	0
OTU_234	1	0	0	0	0	0
OTU_235	1	0	0	0	0	0
OTU_236	5	8	5	0	0	0
OTU_237	1	2	0	0	0	0
OTU_238	2	3	0	0	0	0
OTU_239	1	0	0	0	0	0
OTU_24	16	11	17	0	0	0
OTU_240	2	1	0	0	0	0
OTU_241	1	0	0	0	0	0
OTU_242	1	0	0	0	0	0
OTU_243	1	0	1	0	0	0
OTU_244	1	0	0	0	0	0
OTU_245	2	1	0	0	0	0
OTU_246	1	0	0	0	0	0
OTU_247	1	0	0	0	0	0
OTU_248	6	3	4	0	0	0
OTU_249	1	0	0	0	0	0
OTU_25	1	0	1	0	0	0
OTU_250	1	1	0	0	0	0
OTU_251	1	1	0	0	0	0
OTU_252	1	2	1	0	0	0
OTU_253	1	0	0	0	0	0
OTU_254	2	1	4	0	0	0
OTU_255	2	0	0	0	0	0
OTU_256	1	3	0	0	0	0
OTU_257	1	1	0	0	0	0
OTU_258	1	0	2	0	0	0
OTU_259	1	0	0	0	0	0
OTU_26	2	1	0	0	0	0
OTU_260	1	0	1	0	0	0
OTU_261	1	0	0	0	0	0
OTU_262	3	1	1	0	0	0
OTU_263	1	0	1	0	0	0
OTU_264	1	0	1	0	0	0
OTU_265	1	0	0	0	0	0
OTU_266	3	1	0	0	0	0
OTU_267	1	1	0	0	0	0
OTU_268	1	3	1	0	0	0
OTU_269	1	0	0	0	0	0
OTU_27	1	0	0	0	0	0
OTU_270	2	2	2	0	0	0
OTU_271	3	4	3	0	0	0
OTU_272	1	1	1	0	0	0
OTU_273	4	2	2	0	0	0
OTU_274	3	3	2	0	0	0
OTU_275	1	1	0	0	0	0
OTU_276	1	0	0	0	0	0
OTU_277	5	3	1	0	0	0
OTU_278	1	0	0	0	0	0
OTU_279	1	0	0	0	0	0
OTU_28	35	10	11	0	0	0
OTU_280	1	0	0	0	0	0
OTU_281	1	0	0	0	0	0
OTU_282	1	0	0	0	0	0
OTU_283	1	2	0	0	0	0
OTU_284	1	0	0	0	0	0
OTU_285	1	0	0	0	0	0
OTU_286	1	1	0	0	0	0
OTU_287	1	0	2	0	0	0
OTU_288	2	5	2	0	0	0
OTU_289	1	0	0	0	0	0
OTU_29	4	1	1	0	0	0
OTU_290	1	0	0	0	0	0
OTU_291	1	0	1	0	0	0
OTU_292	9	5	6	0	0	0
OTU_293	1	0	0	0	0	0
OTU_294	1	0	0	0	0	0
OTU_295	1	1	0	0	0	0
OTU_296	1	0	0	0	0	0
OTU_297	1	1	0	0	0	0
OTU_298	1	0	0	0	0	0
OTU_299	1	0	0	0	0	0
OTU_3	5	2	4	0	0	0
OTU_30	28	17	20	0	0	0
OTU_300	8	3	4	0	0	0
OTU_301	1	0	0	0	0	0
OTU_302	1	0	1	0	0	0
OTU_303	3	2	0	0	0	0
OTU_304	2	0	2	0	0	0
OTU_305	1	0	0	0	0	0
OTU_306	2	0	0	0	0	0
OTU_307	1	0	0	0	0	0
OTU_308	2	1	2	0	0	0
OTU_309	1	0	0	0	0	0
OTU_31	7	2	4	0	0	0
OTU_310	1	0	0	0	0	0
OTU_311	2	0	0	0	0	0
OTU_312	2	0	0	0	0	0
OTU_313	1	0	0	0	0	0
OTU_314	1	0	0	0	0	0
OTU_315	1	0	0	0	0	0
OTU_316	1	0	0	0	0	0
OTU_317	1	0	0	0	0	0
OTU_318	1	0	0	0	0	0
OTU_319	1	2	0	0	0	0
OTU_32	2	0	0	0	0	0
OTU_320	1	0	0	0	0	0
OTU_321	1	0	0	0	0	0
OTU_322	7	2	1	0	0	0
OTU_323	1	0	0	0	0	0
OTU_324	1	0	1	0	0	0
OTU_325	1	0	0	0	0	0
OTU_326	2	1	0	0	0	0
OTU_327	1	0	1	0	0	0
OTU_328	3	1	3	0	0	0
OTU_329	1	0	0	0	0	0
OTU_33	11	9	4	0	0	0
OTU_330	2	4	3	0	0	0
OTU_331	1	0	0	0	0	0
OTU_332	1	2	1	0	0	0
OTU_333	1	0	0	0	0	0
OTU_334	1	0	0	0	0	0
OTU_335	2	0	0	0	0	0
OTU_336	1	0	0	0	0	0
OTU_337	2	0	0	0	0	0
OTU_338	1	4	3	0	0	0
OTU_339	1	0	0	0	0	0
OTU_34	1	0	0	0	0	0
OTU_340	2	2	1	0	0	0
OTU_341	2	2	1	0	0	0
OTU_342	1	0	0	0	0	0
OTU_343	1	2	0	0	0	0
OTU_344	1	0	0	0	0	0
OTU_345	1	0	0	0	0	0
OTU_346	3	1	2	0	0	0
OTU_347	3	0	0	0	0	0
OTU_348	1	0	0	0	0	0
OTU_349	1	0	0	0	0	0
OTU_35	3	1	0	0	0	0
OTU_350	1	0	0	0	0	0
OTU_351	1	0	0	0	0	0
OTU_352	1	0	0	0	0	0
OTU_353	1	0	0	0	0	0
OTU_354	1	0	1	0	0	0
OTU_355	1	0	0	0	0	0
OTU_356	2	0	0	0	0	0
OTU_357	1	0	0	0	0	0
OTU_358	1	0	0	0	0	0
OTU_359	1	0	0	0	0	0
OTU_36	1	0	0	0	0	0
OTU_360	1	0	0	0	0	0
OTU_361	1	0	0	0	0	0
OTU_362	1	1	0	0	0	0
OTU_363	2	0	1	0	0	0
OTU_364	1	0	0	0	0	0
OTU_365	2	2	0	0	0	0
OTU_366	1	0	0	0	0	0
OTU_367	1	3	1	0	0	0
OTU_368	1	0	0	0	0	0
OTU_369	2	0	0	0	0	0
OTU_37	2	1	0	0	0	0
OTU_370	1	0	0	0	0	0
OTU_371	10	16	21	0	0	0
OTU_372	1	1	0	0	0	0
OTU_373	1	0	0	0	0	0
OTU_374	1	1	0	0	0	0
OTU_375	1	0	0	0	0	0
OTU_376	1	0	0	0	0	0
OTU_377	1	0	0	0	0	0
OTU_378	2	4	3	0	0	0
OTU_379	1	1	1	0	0	0
OTU_38	4	2	1	0	0	0
OTU_380	1	0	0	0	0	0
OTU_381	1	0	0	0	0	0
OTU_382	2	4	1	0	0	0
OTU_383	1	0	0	0	0	0
OTU_384	1	0	0	0	0	0
OTU_385	1	0	0	0	0	0
OTU_386	1	0	0	0	0	0
OTU_387	2	1	0	0	0	0
OTU_388	1	2	1	0	0	0
OTU_389	2	3	3	0	0	0
OTU_39	7	3	2	0	0	0
OTU_390	2	6	2	0	0	0
OTU_391	1	0	1	0	0	0
OTU_392	2	0	0	0	0	0
